도메인,시스템,모듈러시스템,부품,사양,단가,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10
,,,부품07,사양A,399,공용,공용,-,-,-,신규,-,-,-,공용
,,,부품07,사양B,142,-,공용,공용,공용,-,공용,신규,신규,-,공용
,,,부품08,사양A,296,신규,신규,신규,-,-,공용,신규,-,-,-
,,,부품09,사양A,209,-,-,-,-,-,-,신규,공용,신규,-
,,,부품09,사양B,188,신규,신규,-,-,-,공용,신규,신규,공용,공용
,,,부품10,사양A,368,신규,신규,신규,-,-,신규,-,신규,신규,-
파워트레인,시스템02,모듈러006,부품01,사양A,166,-,신규,신규,공용,공용,-,공용,신규,-,공용
,,,부품02,사양A,433,신규,-,-,-,-,-,-,-,신규,-
,,,부품02,사양B,180,공용,신규,공용,-,-,-,-,신규,신규,-
,,,부품03,사양A,489,-,-,-,-,-,공용,공용,-,-,신규
,,,부품03,사양B,483,-,-,공용,공용,-,-,-,신규,-,-
,,,부품04,사양A,354,공용,-,-,공용,-,신규,-,-,공용,-
,,,부품04,사양B,421,-,-,-,공용,-,-,-,-,공용,-
,,,부품05,사양A,399,신규,-,공용,신규,-,-,공용,신규,신규,-
,,,부품06,사양A,467,신규,-,공용,-,-,-,신규,신규,-,-
,,,부품07,사양A,269,공용,공용,-,신규,신규,-,-,-,공용,-
,,,부품08,사양A,186,공용,공용,-,-,공용,-,-,공용,신규,-
,,,부품08,사양B,430,신규,-,신규,신규,-,신규,-,-,공용,-
,,,부품09,사양A,329,신규,-,-,-,-,-,-,-,-,-
,,,부품10,사양A,476,-,공용,신규,신규,-,공용,공용,신규,-,공용
의장,시스템02,모듈러007,부품01,사양A,41,공용,신규,-,신규,-,-,-,공용,공용,공용
,,,부품01,사양B,390,-,-,-,신규,-,-,-,-,신규,-
,,,부품02,사양A,173,공용,-,-,-,-,신규,신규,신규,공용,신규
,,,부품03,사양A,78,신규,-,공용,-,-,-,-,-,-,-
,,,부품03,사양B,288,신규,공용,-,-,-,-,신규,-,신규,-
,,,부품04,사양A,390,공용,-,공용,공용,-,-,-,-,-,신규
,,,부품04,사양B,326,-,-,-,-,신규,신규,신규,공용,신규,-
,,,부품05,사양A,374,-,-,공용,공용,신규,-,공용,-,-,-
,,,부품06,사양A,223,-,신규,신규,공용,공용,-,-,공용,-,-
,,,부품07,사양A,416,신규,-,-,-,-,신규,-,공용,-,-
,,,부품07,사양B,353,-,공용,-,공용,신규,-,공용,신규,-,-
,,,부품08,사양A,387,-,-,신규,-,공용,-,신규,신규,-,신규
,,,부품09,사양A,83,-,-,-,신규,-,-,-,공용,-,신규
,,,부품09,사양B,320,-,공용,-,-,-,-,-,신규,-,공용
,,,부품10,사양A,47,-,공용,-,-,-,-,-,공용,-,신규
의장,시스템02,모듈러008,부품01,사양A,105,-,공용,-,-,공용,-,신규,공용,-,-
,,,부품01,사양B,284,-,공용,-,신규,-,신규,-,신규,공용,-
,,,부품02,사양A,365,신규,-,신규,신규,-,-,공용,공용,신규,-
,,,부품02,사양B,110,공용,-,공용,-,-,공용,-,신규,신규,-
,,,부품03,사양A,66,-,-,-,-,신규,-,-,공용,-,-
,,,부품03,사양B,232,-,공용,-,공용,신규,-,-,공용,-,공용
,,,부품04,사양A,435,-,신규,신규,-,-,-,공용,-,-,-
,,,부품04,사양B,484,공용,신규,공용,신규,공용,-,-,공용,-,-
,,,부품05,사양A,13,-,-,-,-,신규,신규,공용,-,신규,-
,,,부품05,사양B,64,공용,공용,-,-,-,공용,신규,-,-,-
,,,부품06,사양A,207,-,-,-,-,공용,공용,-,-,공용,-
,,,부품06,사양B,158,신규,공용,-,공용,-,-,-,신규,신규,-
,,,부품07,사양A,492,-,공용,-,-,-,공용,-,-,신규,-
,,,부품07,사양B,163,-,-,신규,-,신규,-,공용,신규,-,-
,,,부품08,사양A,85,-,-,-,신규,-,-,신규,신규,공용,-
,,,부품08,사양B,108,-,-,-,신규,공용,-,-,-,-,공용
,,,부품09,사양A,431,공용,신규,-,-,공용,-,-,신규,공용,신규
,,,부품09,사양B,456,-,신규,-,신규,-,-,-,-,공용,-
,,,부품10,사양A,341,-,-,신규,-,-,공용,-,-,-,신규
파워트레인,시스템02,모듈러009,부품01,사양A,91,공용,-,신규,-,-,신규,-,신규,공용,공용
,,,부품02,사양A,456,-,신규,신규,-,-,신규,-,공용,신규,-
,,,부품02,사양B,140,신규,공용,신규,-,-,-,공용,-,-,-
,,,부품03,사양A,245,-,-,공용,-,신규,공용,-,신규,-,공용
,,,부품04,사양A,73,신규,-,-,신규,공용,-,신규,신규,신규,신규
,,,부품04,사양B,209,-,-,-,공용,공용,-,-,신규,-,-
,,,부품05,사양A,207,-,-,신규,-,-,-,신규,-,공용,-
,,,부품06,사양A,114,-,신규,공용,-,-,공용,신규,-,-,-
,,,부품07,사양A,60,-,-,공용,-,-,공용,-,-,공용,-
,,,부품07,사양B,497,공용,-,-,-,-,-,신규,-,신규,공용
,,,부품08,사양A,397,신규,-,공용,-,-,공용,-,공용,-,신규
,,,부품09,사양A,206,-,-,-,-,-,신규,-,-,신규,공용
,,,부품09,사양B,183,공용,-,-,신규,신규,신규,공용,신규,-,-
,,,부품10,사양A,491,-,공용,신규,-,-,-,-,-,신규,-
샤시,시스템02,모듈러010,부품01,사양A,89,-,공용,공용,신규,-,공용,-,공용,-,-
,,,부품01,사양B,31,공용,신규,공용,신규,-,-,-,신규,공용,공용
,,,부품02,사양A,72,공용,-,-,-,신규,-,-,공용,신규,-
,,,부품03,사양A,54,-,-,공용,신규,-,공용,공용,-,-,-
,,,부품03,사양B,109,신규,신규,-,-,공용,-,신규,-,-,신규
,,,부품04,사양A,336,-,공용,-,신규,-,신규,-,-,공용,-
,,,부품04,사양B,393,-,공용,공용,공용,-,공용,-,신규,공용,신규
,,,부품05,사양A,175,-,공용,신규,공용,-,신규,-,-,-,-
,,,부품06,사양A,320,신규,-,공용,-,공용,공용,공용,-,-,공용
,,,부품07,사양A,205,-,공용,공용,신규,신규,-,-,-,-,-
,,,부품08,사양A,73,공용,-,-,-,-,-,-,공용,-,-
,,,부품08,사양B,14,신규,-,공용,-,신규,신규,공용,신규,신규,-
,,,부품09,사양A,487,공용,공용,-,-,-,-,신규,-,-,공용
,,,부품10,사양A,195,-,공용,신규,신규,-,-,-,공용,-,신규
파워트레인,시스템03,모듈러011,부품01,사양A,13,신규,-,공용,공용,공용,-,공용,신규,-,신규
,,,부품02,사양A,16,-,-,공용,공용,-,-,신규,-,공용,-
,,,부품02,사양B,57,-,공용,-,신규,-,-,공용,-,-,-
,,,부품03,사양A,304,신규,공용,-,-,공용,-,신규,-,공용,공용
,,,부품03,사양B,10,-,-,-,공용,-,공용,신규,-,-,공용
,,,부품04,사양A,70,-,-,신규,-,신규,-,-,-,-,-
,,,부품05,사양A,323,-,-,-,-,-,공용,신규,공용,-,-
,,,부품05,사양B,388,신규,-,공용,-,공용,공용,-,-,공용,신규
,,,부품06,사양A,99,-,-,-,-,-,-,신규,신규,신규,공용
,,,부품06,사양B,252,신규,-,-,-,-,신규,신규,신규,공용,공용
,,,부품07,사양A,183,공용,신규,공용,신규,신규,신규,-,공용,신규,-
,,,부품07,사양B,493,-,공용,신규,-,-,-,-,-,-,-
,,,부품08,사양A,128,신규,신규,-,-,-,-,공용,-,-,-
,,,부품08,사양B,426,공용,-,-,-,공용,-,공용,-,-,-
,,,부품09,사양A,465,신규,-,-,-,공용,-,신규,신규,-,공용
,,,부품10,사양A,45,-,-,-,-,-,-,-,-,신규,공용
파워트레인,시스템03,모듈러012,부품01,사양A,215,-,-,-,공용,-,-,-,-,공용,신규
,,,부품02,사양A,147,-,공용,신규,-,신규,신규,-,-,-,-
,,,부품02,사양B,384,-,신규,-,신규,-,-,-,공용,공용,-
,,,부품03,사양A,272,공용,-,-,신규,-,-,-,공용,-,-
,,,부품03,사양B,401,신규,신규,신규,-,-,-,-,신규,-,신규
,,,부품04,사양A,198,신규,-,공용,-,신규,-,-,-,신규,-
,,,부품05,사양A,259,-,신규,-,-,-,-,공용,공용,신규,공용
,,,부품06,사양A,265,공용,공용,신규,신규,공용,공용,공용,공용,-,-
,,,부품06,사양B,235,-,-,-,신규,-,-,공용,-,공용,-
,,,부품07,사양A,440,-,신규,공용,신규,-,신규,신규,신규,-,-
,,,부품07,사양B,288,신규,-,-,-,-,-,-,-,공용,-
,,,부품08,사양A,435,-,-,-,-,신규,공용,공용,-,-,신규
,,,부품09,사양A,310,신규,-,공용,-,공용,공용,-,-,-,-
,,,부품10,사양A,187,-,신규,-,공용,-,공용,신규,-,공용,공용
파워트레인,시스템03,모듈러013,부품01,사양A,173,-,-,-,-,-,-,-,-,신규,-
,,,부품01,사양B,302,신규,-,-,-,-,공용,신규,-,-,-
,,,부품02,사양A,15,-,신규,-,공용,신규,-,-,공용,공용,-
,,,부품02,사양B,41,-,공용,-,신규,-,-,-,-,신규,-
,,,부품03,사양A,25,공용,공용,공용,-,-,-,신규,-,-,-
,,,부품03,사양B,365,-,-,-,-,-,-,신규,-,신규,-
,,,부품04,사양A,136,-,-,-,신규,신규,-,-,공용,공용,공용
,,,부품05,사양A,98,-,신규,-,-,신규,-,공용,-,-,공용
,,,부품05,사양B,180,-,신규,-,-,신규,공용,-,공용,-,신규
,,,부품06,사양A,309,-,신규,-,공용,공용,-,-,공용,공용,신규
,,,부품06,사양B,147,공용,-,-,-,공용,신규,공용,공용,-,신규
,,,부품07,사양A,333,-,-,신규,신규,공용,-,-,신규,공용,-
,,,부품08,사양A,361,공용,-,신규,-,-,-,신규,-,-,-
,,,부품09,사양A,155,-,-,-,-,공용,신규,-,-,-,-
,,,부품09,사양B,384,-,-,공용,-,공용,공용,공용,-,공용,-
,,,부품10,사양A,137,신규,-,-,-,-,신규,-,-,-,신규
샤시,시스템03,모듈러014,부품01,사양A,231,공용,-,신규,-,-,-,-,-,공용,-
,,,부품02,사양A,252,-,-,-,공용,-,공용,-,신규,-,신규
,,,부품02,사양B,34,-,-,-,-,-,-,-,-,-,신규
,,,부품03,사양A,231,-,신규,공용,-,신규,-,신규,-,신규,-
,,,부품04,사양A,311,-,-,-,신규,신규,-,-,공용,-,신규
,,,부품05,사양A,495,공용,-,신규,공용,-,-,-,-,-,-
,,,부품06,사양A,184,-,-,-,-,-,-,공용,신규,신규,-
,,,부품07,사양A,400,공용,신규,-,-,-,신규,-,-,-,공용
,,,부품07,사양B,189,-,-,공용,-,신규,-,-,신규,공용,-
,,,부품08,사양A,65,신규,-,공용,-,-,-,공용,-,-,-
,,,부품09,사양A,149,신규,-,-,신규,신규,신규,-,-,-,-
,,,부품10,사양A,273,신규,신규,신규,-,-,-,-,공용,-,신규
,,,부품10,사양B,467,신규,-,-,-,-,신규,-,-,-,신규
파워트레인,시스템03,모듈러015,부품01,사양A,210,공용,-,-,공용,공용,신규,-,신규,신규,공용
,,,부품02,사양A,229,-,-,-,신규,-,공용,-,-,공용,-
,,,부품03,사양A,73,-,공용,-,-,-,-,신규,-,-,-
,,,부품04,사양A,256,-,-,-,-,공용,-,-,-,-,-
,,,부품05,사양A,220,신규,-,공용,공용,-,신규,-,-,-,신규
,,,부품06,사양A,442,-,공용,-,공용,공용,-,공용,-,-,공용
,,,부품07,사양A,144,공용,공용,신규,-,공용,-,-,-,-,신규
,,,부품08,사양A,333,-,공용,-,신규,공용,공용,-,-,-,-
,,,부품09,사양A,33,-,-,-,-,-,신규,-,-,공용,-
,,,부품10,사양A,375,공용,신규,-,공용,-,공용,-,-,-,공용
,,,부품10,사양B,456,공용,신규,-,-,신규,-,-,공용,-,신규
바디,시스템04,모듈러016,부품01,사양A,26,-,-,-,-,-,-,-,공용,신규,공용
,,,부품02,사양A,452,-,-,-,공용,-,-,-,-,신규,-
,,,부품02,사양B,298,-,-,-,-,-,-,-,-,-,-
,,,부품03,사양A,192,-,신규,공용,-,-,공용,-,-,-,-
,,,부품03,사양B,434,-,-,-,-,-,신규,-,-,공용,-
,,,부품04,사양A,180,공용,신규,-,-,공용,공용,-,-,공용,-
,,,부품04,사양B,400,-,공용,-,-,-,신규,-,-,신규,신규
,,,부품05,사양A,158,-,신규,신규,-,공용,신규,공용,-,공용,-
,,,부품05,사양B,175,신규,-,신규,-,-,신규,-,-,-,공용
,,,부품06,사양A,357,신규,공용,-,-,-,-,-,-,공용,신규
,,,부품07,사양A,305,-,-,공용,공용,-,신규,신규,-,공용,-
,,,부품07,사양B,191,신규,-,-,공용,-,-,-,-,-,공용
,,,부품08,사양A,495,-,-,공용,공용,-,공용,-,공용,-,-
,,,부품09,사양A,30,공용,신규,-,-,-,-,공용,-,신규,-
,,,부품10,사양A,344,공용,-,신규,-,-,-,-,-,-,-
,,,부품10,사양B,16,-,-,-,-,-,-,신규,-,신규,-
바디,시스템04,모듈러017,부품01,사양A,430,신규,신규,-,-,신규,공용,-,신규,-,-
,,,부품02,사양A,233,-,신규,공용,신규,신규,-,공용,-,-,공용
,,,부품02,사양B,480,공용,공용,-,-,-,-,-,-,-,-
,,,부품03,사양A,197,-,-,-,-,-,-,-,-,-,공용
,,,부품03,사양B,14,-,신규,-,신규,-,공용,공용,-,신규,신규
,,,부품04,사양A,36,-,-,-,-,공용,-,공용,-,-,신규
,,,부품04,사양B,41,공용,-,-,-,-,-,-,-,-,-
,,,부품05,사양A,82,-,-,공용,신규,-,공용,공용,-,-,공용
,,,부품05,사양B,494,공용,공용,-,-,공용,-,-,-,-,신규
,,,부품06,사양A,358,-,공용,-,신규,-,-,공용,-,-,공용
,,,부품06,사양B,291,-,신규,-,-,공용,신규,-,신규,-,-
,,,부품07,사양A,173,-,-,-,신규,공용,-,신규,-,신규,공용
,,,부품08,사양A,77,-,신규,공용,-,신규,-,신규,-,공용,공용
,,,부품08,사양B,322,신규,공용,-,-,-,신규,-,-,-,-
,,,부품09,사양A,269,신규,-,-,-,신규,-,-,-,공용,-
,,,부품09,사양B,320,-,-,신규,-,-,-,공용,-,신규,신규
,,,부품10,사양A,93,-,-,-,공용,-,-,공용,-,공용,-
전장,시스템04,모듈러018,부품01,사양A,138,공용,-,신규,-,-,-,-,-,-,신규
,,,부품02,사양A,118,-,공용,공용,신규,-,신규,신규,-,신규,신규
,,,부품02,사양B,135,신규,공용,신규,신규,-,신규,-,-,-,신규
,,,부품03,사양A,33,신규,-,-,-,-,공용,-,공용,공용,신규
,,,부품03,사양B,114,-,공용,-,-,-,-,신규,신규,공용,신규
,,,부품04,사양A,470,공용,공용,-,-,-,-,-,-,-,-
,,,부품05,사양A,37,신규,-,-,-,공용,신규,-,-,공용,신규
,,,부품06,사양A,173,공용,-,공용,-,신규,-,-,-,-,신규
,,,부품06,사양B,309,-,-,공용,-,공용,-,-,-,공용,신규
,,,부품07,사양A,153,공용,-,공용,공용,-,-,-,-,-,신규
,,,부품07,사양B,205,-,공용,-,-,-,-,공용,신규,신규,-
,,,부품08,사양A,264,신규,신규,공용,-,-,신규,신규,-,-,-
,,,부품08,사양B,429,공용,공용,-,-,신규,-,공용,-,-,-
,,,부품09,사양A,354,-,공용,공용,공용,공용,-,신규,신규,-,-
,,,부품09,사양B,213,-,-,신규,-,공용,-,신규,-,신규,공용
,,,부품10,사양A,135,공용,-,신규,-,신규,신규,-,-,신규,신규
,,,부품10,사양B,203,공용,신규,-,-,신규,-,-,-,공용,공용
파워트레인,시스템04,모듈러019,부품01,사양A,337,신규,신규,-,공용,-,-,-,신규,공용,-
,,,부품01,사양B,73,신규,-,공용,신규,-,신규,-,-,-,신규
,,,부품02,사양A,34,-,신규,-,-,-,-,-,공용,신규,-
,,,부품02,사양B,246,-,-,공용,공용,-,-,-,-,-,공용
,,,부품03,사양A,466,-,-,-,-,-,-,공용,공용,-,-
,,,부품03,사양B,147,-,-,-,-,-,신규,신규,-,-,-
,,,부품04,사양A,463,공용,신규,-,-,신규,-,-,공용,신규,-
,,,부품05,사양A,237,신규,-,신규,신규,-,공용,공용,-,-,-
,,,부품06,사양A,402,-,-,신규,신규,-,-,-,-,신규,-
,,,부품06,사양B,150,-,-,-,-,-,-,-,-,-,-
,,,부품07,사양A,345,-,-,-,신규,-,-,공용,-,-,-
,,,부품07,사양B,202,-,신규,-,-,-,-,-,-,신규,-
,,,부품08,사양A,310,-,신규,-,신규,신규,공용,공용,-,-,공용
,,,부품09,사양A,163,-,-,신규,-,공용,-,-,신규,공용,-
,,,부품10,사양A,406,-,-,-,-,-,-,-,신규,-,공용
,,,부품10,사양B,62,신규,신규,신규,공용,-,신규,-,-,-,공용
바디,시스템04,모듈러020,부품01,사양A,39,-,-,-,-,-,신규,-,-,-,신규
,,,부품02,사양A,488,-,-,신규,-,-,-,-,신규,-,-
,,,부품02,사양B,211,신규,-,-,-,-,-,-,공용,-,-
,,,부품03,사양A,361,-,공용,-,-,공용,-,-,-,-,-
,,,부품04,사양A,244,신규,신규,신규,-,-,신규,신규,-,-,공용
,,,부품04,사양B,283,-,신규,-,-,-,-,-,-,-,공용
,,,부품05,사양A,263,-,공용,-,신규,-,-,-,-,신규,-
,,,부품05,사양B,457,-,-,-,공용,신규,신규,공용,신규,-,-
,,,부품06,사양A,184,신규,신규,-,-,-,신규,-,-,-,-
,,,부품07,사양A,27,신규,-,-,-,-,공용,공용,-,-,-
,,,부품08,사양A,218,-,신규,신규,신규,공용,-,-,-,신규,공용
,,,부품09,사양A,403,-,-,신규,공용,-,-,-,신규,-,-
,,,부품10,사양A,426,신규,-,-,-,-,공용,공용,공용,신규,-
,,,부품10,사양B,42,공용,공용,공용,공용,-,신규,신규,-,-,신규
바디,시스템05,모듈러021,부품01,사양A,217,신규,-,신규,-,-,-,-,공용,-,신규
,,,부품01,사양B,441,-,-,-,신규,신규,-,-,공용,-,-
,,,부품02,사양A,214,-,공용,신규,공용,신규,-,-,신규,-,신규
,,,부품03,사양A,416,-,-,-,신규,-,-,-,-,신규,신규
,,,부품03,사양B,71,신규,-,-,-,-,신규,신규,-,-,-
,,,부품04,사양A,142,공용,공용,-,-,공용,-,공용,-,-,-
,,,부품05,사양A,33,-,-,-,공용,-,-,-,-,-,신규
,,,부품06,사양A,488,-,-,-,공용,공용,신규,-,공용,신규,공용
,,,부품06,사양B,375,공용,-,-,-,공용,-,-,-,-,신규
,,,부품07,사양A,182,-,공용,-,신규,신규,신규,공용,-,신규,신규
,,,부품08,사양A,452,-,공용,-,-,-,-,신규,-,-,-
,,,부품09,사양A,183,-,-,공용,-,-,공용,-,-,-,-
,,,부품10,사양A,486,-,-,-,공용,-,공용,-,-,-,신규
바디,시스템05,모듈러022,부품01,사양A,25,-,신규,신규,-,-,신규,공용,공용,공용,신규
,,,부품02,사양A,210,신규,-,공용,-,-,신규,-,-,-,공용
,,,부품03,사양A,248,신규,-,-,신규,신규,-,신규,-,공용,-
,,,부품04,사양A,266,공용,-,공용,-,-,공용,-,신규,-,신규
,,,부품04,사양B,356,-,-,-,-,신규,-,-,-,공용,-
,,,부품05,사양A,170,신규,-,신규,-,-,공용,-,-,공용,-
,,,부품06,사양A,30,신규,공용,신규,-,공용,-,-,공용,신규,공용
,,,부품06,사양B,490,공용,신규,신규,-,-,-,신규,-,신규,신규
,,,부품07,사양A,313,공용,공용,-,신규,-,공용,신규,-,-,-
,,,부품08,사양A,216,-,-,신규,신규,-,-,-,공용,-,공용
,,,부품08,사양B,401,공용,신규,-,-,-,-,공용,신규,-,공용
,,,부품09,사양A,434,-,-,공용,-,-,-,-,신규,-,-
,,,부품09,사양B,470,공용,-,-,신규,-,-,-,-,-,-
,,,부품10,사양A,348,-,-,신규,-,공용,신규,공용,신규,신규,공용
,,,부품10,사양B,442,-,-,-,-,-,-,신규,-,-,공용
전장,시스템05,모듈러023,부품01,사양A,67,-,-,공용,신규,신규,신규,신규,-,-,신규
,,,부품01,사양B,153,-,신규,-,-,-,공용,공용,-,-,-
,,,부품02,사양A,277,-,-,-,-,-,신규,-,-,신규,공용
,,,부품03,사양A,270,-,신규,-,신규,-,-,-,-,신규,-
,,,부품03,사양B,16,-,-,-,-,-,-,-,-,-,-
,,,부품04,사양A,26,-,-,신규,공용,-,공용,공용,공용,공용,공용
,,,부품04,사양B,432,신규,신규,-,신규,-,신규,신규,신규,-,신규
,,,부품05,사양A,346,공용,공용,공용,-,-,공용,-,신규,-,-
,,,부품05,사양B,213,공용,공용,신규,-,-,-,-,-,-,신규
,,,부품06,사양A,26,신규,-,공용,-,-,-,-,-,신규,-
,,,부품07,사양A,156,공용,공용,공용,-,-,-,-,-,-,-
,,,부품08,사양A,238,-,신규,공용,-,-,신규,신규,-,-,-
,,,부품09,사양A,244,-,-,-,-,-,-,-,신규,-,신규
,,,부품09,사양B,95,공용,-,-,공용,-,-,신규,-,신규,공용
,,,부품10,사양A,272,-,-,공용,-,-,공용,신규,공용,-,공용
,,,부품10,사양B,134,-,공용,신규,신규,신규,-,-,-,신규,신규
의장,시스템05,모듈러024,부품01,사양A,129,-,공용,-,-,신규,신규,-,-,신규,신규
,,,부품02,사양A,307,신규,-,공용,-,-,-,-,-,공용,-
,,,부품03,사양A,129,-,-,신규,-,신규,공용,공용,공용,-,신규
,,,부품03,사양B,363,공용,-,-,-,-,-,신규,신규,공용,-
,,,부품04,사양A,193,신규,-,-,공용,-,-,신규,-,-,-
,,,부품05,사양A,16,-,-,-,공용,-,-,-,-,-,공용
,,,부품05,사양B,185,공용,공용,신규,신규,-,-,-,신규,신규,-
,,,부품06,사양A,187,-,-,신규,신규,-,공용,공용,-,-,-
,,,부품07,사양A,66,-,공용,-,공용,신규,-,신규,-,-,공용
,,,부품08,사양A,16,-,-,공용,공용,-,-,-,신규,-,신규
,,,부품08,사양B,330,신규,-,신규,신규,-,-,공용,-,-,-
,,,부품09,사양A,222,신규,-,공용,신규,신규,-,-,-,공용,-
,,,부품09,사양B,233,신규,신규,공용,신규,-,-,-,신규,-,-
,,,부품10,사양A,272,-,-,-,-,신규,-,공용,공용,-,신규
,,,부품10,사양B,297,-,신규,-,신규,-,-,공용,-,신규,신규
파워트레인,시스템05,모듈러025,부품01,사양A,236,공용,신규,-,-,신규,-,신규,공용,-,-
,,,부품02,사양A,197,-,신규,신규,신규,-,-,공용,-,-,-
,,,부품03,사양A,288,-,-,-,-,-,-,-,신규,공용,공용
,,,부품04,사양A,140,-,신규,-,-,-,-,-,-,신규,공용
,,,부품04,사양B,233,-,공용,-,신규,-,공용,공용,신규,-,-
,,,부품05,사양A,191,-,신규,-,-,신규,-,신규,-,공용,신규
,,,부품06,사양A,420,공용,-,공용,-,-,신규,-,신규,-,-
,,,부품07,사양A,461,신규,신규,공용,공용,공용,-,공용,공용,-,공용
,,,부품07,사양B,199,-,-,-,-,-,공용,신규,공용,-,-
